,K,D,A,Gold,Level,Win,Time_seconds
232,1.6,0.8,4.2,8324.0,13.8,1,848
233,0.8,1.6,1.6,7269.2,13.2,0,848
234,4.8,1.6,11.8,11238.8,15.0,1,963
235,1.6,4.8,2.0,9087.8,14.4,0,963
236,1.4,2.6,3.8,8765.8,14.4,0,1003
237,2.6,1.4,6.4,9873.2,14.8,1,1003
238,1.4,0.6,4.4,7837.2,13.0,1,688
239,0.6,1.4,1.2,5451.0,10.8,0,688
240,3.4,3.2,9.4,14099.6,15.0,0,1568
241,3.2,3.4,9.2,15745.8,15.0,1,1568
242,1.6,0.8,4.2,8324.2,13.8,1,848
243,0.8,1.6,1.6,7269.2,13.2,0,848
244,4.8,1.6,11.8,11238.6,15.0,1,963
245,1.6,4.8,2.0,9087.8,14.4,0,963
246,1.4,2.6,3.8,8765.8,14.4,0,1003
247,2.6,1.4,6.4,9993.2,14.8,1,1003
248,1.4,0.6,4.4,7837.2,13.0,1,688
249,0.6,1.4,1.2,5451.0,10.8,0,688
250,3.4,3.2,8.6,14099.6,15.0,0,1568
251,3.2,3.4,9.2,15745.8,15.0,1,1568
252,3.6,1.4,5.8,9523.8,14.0,1,798
253,1.4,3.6,3.2,7563.8,12.8,0,798
254,1.0,3.2,3.0,9849.0,14.8,0,1069
255,3.2,1.0,6.2,10876.6,15.0,1,1069
256,0.4,3.2,1.2,7710.0,13.4,0,897
257,3.2,0.4,9.0,10164.0,14.6,1,897
258,3.0,3.4,7.0,17837.4,15.0,1,1814
259,3.4,3.0,8.0,17413.4,15.0,0,1814
260,2.8,3.0,8.2,13126.8,15.0,0,1479
261,3.0,2.8,7.6,14315.2,15.0,1,1479
262,1.6,3.2,4.0,9480.6,14.4,0,1037
263,3.2,1.6,9.4,10719.0,15.0,1,1037
264,2.6,1.0,4.8,12415.2,15.0,1,1154
265,1.0,2.6,2.6,9763.8,15.0,0,1154
266,1.0,1.4,2.4,12203.6,15.0,1,1214
267,1.4,1.0,4.4,10688.0,15.0,0,1214
268,2.4,0.8,5.4,9637.2,14.6,1,852
269,0.8,2.4,2.0,7013.2,12.8,0,852
270,0.6,2.8,1.0,7771.4,13.8,0,912
271,2.8,0.6,7.6,9212.8,14.6,1,912
272,3.6,3.0,8.0,11926.2,15.0,1,1395
273,3.0,3.6,5.8,13018.4,15.0,0,1395
274,3.0,1.4,8.2,10240.2,14.8,1,920
275,1.4,3.0,2.2,8024.4,13.6,0,920
276,2.4,0.6,8.0,9249.0,14.4,1,843
277,0.6,2.4,1.8,6715.4,12.4,0,843
278,2.2,0.0,6.6,10018.6,15.0,1,947
279,0.0,2.2,0.0,7859.6,14.2,0,947
280,1.4,2.0,3.4,7089.8,12.6,0,783
281,2.0,1.4,5.8,7905.8,13.6,1,783
282,3.0,0.6,9.8,8920.8,14.2,1,882
283,0.6,3.0,1.2,7811.0,13.6,0,882
