K_1,D_1,A_1,Gold_1,Level_1,Win_1,Time_seconds_1,K_2,D_2,A_2,Gold_2,Level_2
2.4,3.2,7.2,14859.2,15.0,0,1661,3.2,2.4,8.6,16293.6,15.0
1.0,2.4,2.0,6573.4,11.6,0,729,2.4,1.0,5.4,7996.0,13.6
1.8,1.2,4.0,12996.0,15.0,1,1307,1.2,1.8,3.8,11852.2,15.0
1.4,1.8,3.6,10935.6,15.0,0,1148,1.8,1.4,4.4,12081.4,15.0
2.4,3.4,5.0,9075.0,14.8,0,1057,3.4,2.4,8.2,10596.4,15.0
3.4,1.8,8.4,15319.6,15.0,1,1559,1.8,3.4,4.6,13775.6,15.0
2.2,0.8,6.0,9566.0,14.6,1,970,0.8,2.2,2.8,8283.6,14.2
0.8,2.2,2.4,9458.6,14.4,0,1031,2.2,0.8,6.0,10679.0,15.0
1.0,2.0,3.0,7435.8,12.6,0,889,2.0,1.0,3.4,9706.8,14.8
3.6,1.8,9.4,9214.2,14.2,1,839,1.8,3.6,4.8,7460.0,13.2
3.8,1.4,6.8,9737.6,14.8,1,881,1.4,3.8,2.6,7966.6,13.0
2.0,0.6,6.6,7660.6,12.8,1,693,0.6,2.0,1.4,6029.2,11.0
0.2,1.4,0.8,6386.4,12.2,0,833,1.4,0.2,2.4,24888.0,14.2
3.4,0.6,7.0,10929.6,15.0,1,1050,0.6,3.4,1.4,8905.8,14.6
3.2,0.6,8.0,11564.0,15.0,1,1192,0.6,3.2,1.6,9319.0,15.0
0.8,3.4,2.4,9248.0,14.8,0,1078,3.4,0.8,8.2,11680.6,15.0
1.8,2.4,5.0,9121.6,14.6,1,909,2.4,1.8,6.4,8375.6,13.8
0.8,3.0,2.0,7867.2,13.4,0,878,3.0,0.8,8.4,9957.6,15.0
3.6,0.2,12.0,9774.8,14.4,1,863,0.2,3.6,0.6,6882.2,13.0
2.2,1.2,6.4,8158.6,13.2,1,761,1.2,2.2,3.0,7316.2,12.6
1.4,3.4,1.4,9003.8,14.0,0,943,3.4,1.4,7.6,10423.2,14.6
3.2,1.4,10.0,11740.0,15.0,1,1289,1.4,3.2,3.6,11108.2,15.0
3.8,1.4,8.2,8992.0,14.0,1,793,1.4,3.8,2.6,7251.0,12.6
3.2,1.2,8.8,9924.0,14.8,1,979,1.2,3.2,2.4,8357.8,14.0
3.2,0.8,9.6,11352.6,15.0,1,1038,0.8,3.2,2.0,8486.8,14.6
0.4,1.4,0.4,7198.8,13.0,0,832,1.4,0.4,3.0,8972.4,14.2
1.6,0.8,4.2,8324.0,13.8,1,848,0.8,1.6,1.6,7269.2,13.2
4.8,1.6,11.8,11238.8,15.0,1,963,1.6,4.8,2.0,9087.8,14.4
1.4,2.6,3.8,8765.8,14.4,0,1003,2.6,1.4,6.4,9873.2,14.8
1.4,0.6,4.4,7837.2,13.0,1,688,0.6,1.4,1.2,5451.0,10.8
3.4,3.2,9.4,14099.6,15.0,0,1568,3.2,3.4,9.2,15745.8,15.0
1.6,0.8,4.2,8324.2,13.8,1,848,0.8,1.6,1.6,7269.2,13.2
4.8,1.6,11.8,11238.6,15.0,1,963,1.6,4.8,2.0,9087.8,14.4
1.4,2.6,3.8,8765.8,14.4,0,1003,2.6,1.4,6.4,9993.2,14.8
